file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\operation\MapReduceToCollectionOperation.java,com.mongodb.internal.operation.MapReduceToCollectionOperation,class,26,29,3,26,51,1,0,51,809,0.94186056,0.041835357,0.067476384,43,0,39,4,0,0,39,0,0,0,20,1,0,20,0,0,6,0,6,216,42,0,7,0,0,29,0,24,0,30,2,0,0,4,164,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-reactive-streams\src\test\functional\com\mongodb\reactivestreams\client\syncadapter\SyncChangeStreamIterable.java,com.mongodb.reactivestreams.client.syncadapter.SyncChangeStreamIterable$Anonymous1,anonymous,5,5,0,5,8,1,0,7,28,0.0,0.0,0.0,8,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,17,-1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\bson\src\test\unit\org\bson\internal\Holder.java,org.bson.internal.Holder,class,0,0,0,0,0,1,0,0,0,NaN,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-reactive-streams\src\main\com\mongodb\reactivestreams\client\internal\ClientSessionPublisherImpl.java,com.mongodb.reactivestreams.client.internal.ClientSessionPublisherImpl,class,19,21,2,19,39,2,0,37,0,0.6166667,0.6666667,0.8,12,0,9,2,0,1,10,0,0,0,5,0,0,5,0,0,1,0,0,137,8,0,22,0,3,13,0,17,0,13,2,0,1,4,101,16,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\bson\src\test\unit\org\bson\codecs\EnumCodecTest.java,org.bson.codecs.EnumCodecTest,class,7,7,0,7,2,2,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,4,0,0,0,0,19,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\bson\src\test\unit\org\bson\codecs\pojo\entities\MapMapGenericExtendedModel.java,org.bson.codecs.pojo.entities.MapMapGenericExtendedModel,class,1,2,1,1,3,2,0,1,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,0,0,1,0,0,0,0,0,7,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\connection\InternalStreamConnection.java,com.mongodb.internal.connection.InternalStreamConnection,class,68,75,7,68,115,1,0,143,567,0.9035918,0.24637681,0.51449275,46,2,22,22,0,2,24,0,0,0,23,4,0,23,0,0,16,0,19,662,49,3,16,18,1,51,6,71,4,64,5,3,1,3,207,1,3
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\connection\DnsSrvRecordInitializer.java,com.mongodb.internal.connection.DnsSrvRecordInitializer,interface,3,10,7,3,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\bson\src\test\unit\org\bson\codecs\pojo\entities\conventions\BsonIgnoreSyntheticProperty.java,org.bson.codecs.pojo.entities.conventions.BsonIgnoreSyntheticProperty,class,4,5,1,4,10,1,0,3,0,0.16666667,0.6666667,0.6666667,6,0,6,0,0,0,6,0,0,0,1,0,0,1,0,0,1,0,1,28,7,0,4,0,0,3,1,2,2,2,1,0,0,0,19,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-sync\src\test\functional\com\mongodb\client\AbstractSessionsProseTest.java,com.mongodb.client.AbstractSessionsProseTest$Anonymous2,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\connection\ServerTuple.java,com.mongodb.internal.connection.ServerTuple,class,2,12,10,2,3,1,0,0,0,0.33333334,0.6666667,1.0,3,0,3,0,0,0,3,0,0,0,2,0,0,2,0,0,2,0,0,14,2,0,0,0,0,0,0,2,0,2,0,0,0,0,23,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-sync\src\test\functional\com\mongodb\client\AbstractSessionsProseTest.java,com.mongodb.client.AbstractSessionsProseTest$Anonymous1,anonymous,1,1,0,1,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,-1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\bson\src\test\unit\org\bson\json\JsonReaderTest.java,org.bson.json.JsonReaderTest,class,13,14,1,13,113,1,0,58,4851,0.0,0.0,0.0,99,0,95,4,0,0,95,0,0,0,0,0,0,0,0,0,0,0,5,1168,98,4,2,3,1,180,118,145,11,240,2,0,0,96,186,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\operation\BsonDocumentWrapperHelper.java,com.mongodb.internal.operation.BsonDocumentWrapperHelper,class,4,5,1,4,4,1,0,3,3,0.0,0.0,0.0,3,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,3,0,1,0,2,2,0,0,0,0,1,0,0,0,13,16,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-sync\src\main\com\mongodb\client\internal\MongoChangeStreamCursorImpl.java,com.mongodb.client.internal.MongoChangeStreamCursorImpl,class,11,15,4,11,21,1,0,14,0,0.6,0.6666667,0.8,11,0,10,1,0,0,10,0,0,0,5,0,0,5,0,0,2,0,0,72,8,0,8,0,1,2,2,13,2,7,2,0,0,0,55,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\connection\SplittablePayload.java,com.mongodb.internal.connection.SplittablePayload$WriteRequestEncoder,innerclass,12,12,0,12,27,1,0,41,3,0.0,0.0,0.0,3,0,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,10,92,1,2,12,0,0,16,2,11,0,11,3,0,0,0,51,0,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-sync\src\test\functional\com\mongodb\client\AbstractUuidRepresentationTest.java,com.mongodb.client.AbstractUuidRepresentationTest,class,24,26,2,24,36,1,1,38,0,0.5462963,0.6818182,0.6818182,12,1,10,0,2,0,12,2,0,0,9,0,0,9,0,0,5,0,4,199,3,0,17,7,0,42,0,25,0,25,2,0,1,0,79,1025,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-sync\src\test\functional\com\mongodb\client\AtlasDataLakeConnectivityTest.java,com.mongodb.client.AtlasDataLakeConnectivityTest,class,11,12,1,11,9,1,0,26,36,0.0,0.0,0.0,9,0,4,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,31,4,0,0,1,0,2,1,1,0,2,1,0,0,1,37,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-reactive-streams\src\test\unit\com\mongodb\reactivestreams\client\internal\MongoCollectionImplTest.java,com.mongodb.reactivestreams.client.internal.MongoCollectionImplTest,class,47,47,0,47,25,2,0,49,0,0.35999998,1.0,1.0,25,0,23,0,0,2,25,0,0,0,6,0,0,6,0,0,5,0,6,562,0,0,0,0,0,176,7,154,0,155,1,0,0,413,79,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\DBObject.java,com.mongodb.DBObject,interface,1,51,50,1,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\bson\src\test\unit\org\bson\codecs\pojo\entities\NestedMultipleLevelGenericModel.java,org.bson.codecs.pojo.entities.NestedMultipleLevelGenericModel,class,2,4,2,2,16,1,0,7,14,0.5555556,0.30555555,0.41666666,9,0,9,0,0,0,9,0,0,0,2,0,0,2,0,0,0,0,0,46,9,0,9,0,1,4,3,7,4,4,1,0,0,0,25,17,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\connection\Connection.java,com.mongodb.internal.connection.Connection$PinningMode,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0
C:\Users\User\Desktop\OOD\mongo-java-driver-master\driver-core\src\main\com\mongodb\internal\operation\MixedBulkWriteOperation.java,com.mongodb.internal.operation.MixedBulkWriteOperation$BulkWriteTracker,innerclass,5,5,0,5,11,1,0,13,2,0.5833333,0.26666668,0.26666668,8,4,0,2,0,6,6,0,0,0,3,0,0,3,0,0,2,0,7,41,4,0,2,0,0,0,4,7,2,7,1,0,0,1,21,25,0
